ID,Name,Address,Unit No,Postal Code,Primary Contact Last Name,Primary Contact First Name,Phone,Phone Ext,Industry,Employees at Facility,Latitude,Longitude,Number,Street,City,State,Country
23398,1 Four 0 Nine Inc,1407 Bloor St W,,M6P 3L4,Le,Hoang,416-534-5677,,General Automotive Repair,1,43.657248,-79.447095,1407,Bloor St W,Toronto,ON,CA
25521,131 Ormont,131 Ormont Drive,,M9L 2S3,Spector,Avi,647-215-4281,,Wood Office Furniture Mfg.,37,43.76557,-79.53845,131,Ormont Dr,Toronto,ON,CA
24951,1333215 Ontario Ltd TA Joe Cool Krysia,57 Colville Rd,,M6M 2Y2,Skowronski,Mark,416-246-0001,,Jewellery & Watch Whl.,2,43.706702,-79.473045,57,Colville Rd,Toronto,ON,CA
25206,1406253 Ontario Limited,31 Torbarrie Road,,M3L 1G5,Trentadue,Bart,416-989-1610,,Heavy-Duty Truck Mfg.,35,43.7216,-79.52122,31,Torbarrie Rd,Toronto,ON,CA
23270,1524024 Ontario Inc Oa Bay Recycling,31 Goodmark Place,2,M9W 6S1,Iqbal,Mohammed,416-679-0414,,All Other Waste Management Services,5,43.753332,-79.615428,31,Goodmark Pl,Toronto,ON,CA
23224,1545317 Ontario Inc 0a Liaison College Downtown,205 Richmond St West,102,M5V 1V3,Elliott,Ana Paula,416-428-9266,,Technical & Trade Schools,5,43.649411,-79.388705,205,Richmond St W,Toronto,ON,CA
23046,1625100 Ont Ltd Authentic Windows And Doors,20 Estate Drive,,M1H 2Z1,Borden,Robert,416-292-5400,,Wood Window & Door Mfg.,12,43.782428,-79.238597,20,Estate Dr,Toronto,ON,CA
127,163 Auto Collision Inc,40 Melford Dr,6,M1B 2G2,SIT,TIM,416-321-3388,,"Automotive Body, Paint & Interior R&M",1,43.774076,-79.218956,40,Milford Haven Dr,Toronto,ON,CA
22218,1755946 Ontario Limited OA Quan Auto Service,221 New Toronto St,,M8V 2G3,Nguyen,Quan,416-251-5237,,General Automotive Repair,1,43.603942,-79.518546,221,New Toronto St,Toronto,ON,CA
21984,1839395 Ontario Ltd,2215 Kingston Road,,M1N 1T7,Rouvas,Froso,416-835-7771,,General Automotive Repair,1,43.703606,-79.252532,2215,Kingston Rd,Toronto,ON,CA
23104,202020 Auto Collision,1173 Roselawn Ave,,M6B 1C6,Fabiano,Gregory,416-780-1415,,"Automotive Body, Paint & Interior R&M",2,43.699204,-79.454835,1173,Roselawn Ave,Toronto,ON,CA
25514,2045406 Ontario Inc  Dry Cleaners Plus,700 Lawrence Ave W,111B,M6A 3B4,Oh,Jang Kyun,416-781-4767,,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),2,43.716935,-79.447434,700,Lawrence Ave W,Toronto,ON,CA
22796,2246624 Ontario Inc,3200 Eglinton Ave E,,M1J 2H6,Lee,Rachel,416-886-6228,,Coin-Operated Laundries & Dry Cleaners,4,43.743701,-79.218694,3200,Eglinton Ave E,Toronto,ON,CA
22593,2289974 Ontario Ltd,2360 Midland Ave,2,M1S 4A9,Ko,Kang Yiu,416-298-6336,,Clothing Accessories & Other Clothing Mfg.,5,43.779618,-79.275965,2360,Midland Ave,Toronto,ON,CA
23214,24 Gold Group Ltd,21 Dundas Square,618,M5B 1B7,Hanna,Kamel,416-214-2442,,Jewellery & Silverware Mfg.,4,43.6558,-79.379807,21,Dundas Sq,Toronto,ON,CA
23804,247 Integrated Inc,115 Thorncliffe Park Dr,A,M4H 1M1,Sanham,Heather,905-477-5046,,All Other Services Related to Advertising,9,43.709375,-79.344221,115,Thorncliffe Park Dr,Toronto,ON,CA
24123,2749394 Canada Inc,210 Supertest Road,,M3J 2M2,Thiang,Kee,416-661-3660,4059,Office Furniture (except Wood) Mfg.,2,43.777014,-79.474244,210,Supertest Rd,Toronto,ON,CA
24306,3d Mould Mfg Ltd,1365 Morningside Ave,8,M1B 4Y5,Dunlop,Perry,416-412-7836,,Machine Shops,2,43.808148,-79.201544,1365,Morningside Ave,Toronto,ON,CA
486,4 Solutions Display Corp,602 Magnetic Drive,,M3J 2C4,Grady,George,416-661-9434,443,All Other Plastic Product Mfg.,6,43.783899,-79.47509,602,Magnetic Dr,Toronto,ON,CA
23324,409 Auto Collision,147 Belfield Road,,M9W 1G8,Singh,Abtar,416-242-7111,,"Automotive Body, Paint & Interior R&M",6,43.700946,-79.576684,147,Belfield Rd,Toronto,ON,CA
23277,427 Auto Collision Ltd,395 Evans Avenue,,M8Z 1K8,Armata,Enzo,416-259-6344,240,"Automotive Body, Paint & Interior R&M",65,43.614885,-79.526833,395,Evans Ave,Toronto,ON,CA
23407,427 Queensway Collision Centre,41 Atomic Ave,,M8Z 5K8,Gadeen,Darryl,416-255-8511,,"Automotive Body, Paint & Interior R&M",5,43.62057,-79.541582,41,Atomic Ave,Toronto,ON,CA
22117,443443 Ontario Ltd,1540 Midland Avenue,Rear,M1P 3C2,Humphries,Troy,416-757-0457,,General Automotive Repair,2,43.754744,-79.266874,1540,Midland Ave,Toronto,ON,CA
22064,472569 Ontario Limited Ontario Aluminum Glass,4 Jenet Ave,,M6H 1R4,Silva,Danielle,416-533-7921,227,Metal Window & Door Mfg.,18,43.659983,-79.443923,4,Jenet Ave,Toronto,ON,CA
24230,4u Cleanerscom,2324 Lake Shore Blvd W,3,M8V 1B6,Kim,Yeong Il,416-899-9987,,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),3,43.617169,-79.487934,2324,Lake Shore Blvd W,Toronto,ON,CA
24122,5 Star Auto Repair,2581 Eglinton Ave East,,M1K 2R8,Avanes,Gagik,416-265-0335,,General Automotive Repair,1,43.734881,-79.254732,2581,Eglinton Ave E,Toronto,ON,CA
22187,573436 Ont Ltd Oa Boyd Cleaners,727 Dovercourt Rd,,M6H 2W7,Schneider,Joe,416-536-1490,,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),3,43.660865,-79.428929,727,Dovercourt Rd,Toronto,ON,CA
24232,693316 Ontario Limited Horner Avenue,200 Horner Ave,,M8Z 4X8,Suppa,Domenic,416-798-7060,,Ready-Mix Concrete Mfg.,1,43.608613,-79.518143,200,Horner Ave,Toronto,ON,CA
23198,7 Star Cleaners,3834A Bloor St W,,M9B 1L1,Lee,KwangSik,416-236-3944,,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),2,43.641366,-79.538572,3834,Bloor St W,Toronto,ON,CA
25544,71 Rexdale Blvd,71 Rexdale Boulevard,,M9W 1P1,Kerr,Duncan,416-542-7807,,Electric Power Distribution,0,43.71122,-79.560963,71,Rexdale Blvd,Toronto,ON,CA
22392,7109563 Canada Inc OA Cookiegrams,81 Brisbane Road,7,M3J 2K3,Da Re,Louise,416-663-7770,,Retail Bakeries,2,43.771249,-79.474956,81,Brisbane Rd,Toronto,ON,CA
25036,715 Milner Avenue,715 Milner Avenue,,M1B 2K4,Kerr,Duncan,416-542-7807,,Electric Power Distribution,0,43.796,-79.207991,715,Milner Ave,Toronto,ON,CA
23332,7291931 Canada Inc Oas NS Studios,1160 BELLAMY RD N,,M1H 1H2,Cliff,Ronald,416-438-3385,228,Commercial Screen Printing,19,43.778662,-79.244213,1160,Bellamy Rd N,Toronto,ON,CA
25543,777 Bay St,777 Bay Street,Suit 2700,M5G 2C8,Kerr,Duncan,416-542-7807,,Electric Power Distribution,62,43.660643,-79.385382,777,Bay St,Toronto,ON,CA
23525,853310 Ontario Limited Oa Auto Service Plus,865 Richmond Street West,,M6J 1E2,Silva,Mario,416-588-3881,,General Automotive Repair,2,43.644313,-79.412242,865,Richmond St W,Toronto,ON,CA
25954,8697132 Canada Corporation,245 Carlaw Ave,Unit 004,M4M 2S1,Uribe,Cristobal,416-999-9896,,Electronic Shopping & Mail-Order Houses,4,43.663633,-79.340826,245,Carlaw Ave,Toronto,ON,CA
22984,A A Auto Body,260 Midwest Rd,10,M1P 3B4,Chatterpaul,Lakram,416-751-4500,,"Automotive Body, Paint & Interior R&M",4,43.758308,-79.271559,260,Midwest Rd,Toronto,ON,CA
22445,A B Plastics 1986 Co Ltd,269 RIMROCK ROAD,,M3J 3C6,Bernath,Celia,416-630-4666,,All Other Whl.,19,43.75679,-79.467532,269,Rimrock Rd,Toronto,ON,CA
24742,A J Woven Label Inc,1361 Huntingwood Drive,5,M1S 3J1,Lam,Joanne,416-321-8182,,Narrow Fabric Mills & Schiffli Embroidery,5,43.797506,-79.266026,1361,Huntingwood Dr,Toronto,ON,CA
23435,A N T Auto Body,35 Cosentino Dr,,M1P 3A3,Sinniah,Shangar,416-609-2503,,"Automotive Body, Paint & Interior R&M",5,43.771724,-79.269868,35,Cosentino Dr,Toronto,ON,CA
25522,A One Auto Parts Depot Inc,110 Millwick Dr,1,M9L 1Y3,Ghulam Ali,Waqar,416-739-8880,,Automotive Parts & Accessories Stores,0,43.760745,-79.565395,110,Millwick Dr,Toronto,ON,CA
22747,A&I Automotive Inc,741  Runnymede Rd,a,M6N 3V7,Tcherkasski,Alexander,416-760-9994,,General Automotive Repair,1,43.668653,-79.483234,741,Runnymede Rd,Toronto,ON,CA
22699,A1 Autotech,905 Don Mills Rd,,M3C 1W4,Feijoo,Andre,416-447-8900,,General Automotive Repair,4,43.72825,-79.3404,905,Don Mills Rd,Toronto,ON,CA
405,A1 Label Inc,32 Cranfield Rd,,M4B 3H3,Randeria,Ketan,416-701-9800,,Other Printing,120,43.714583,-79.310971,32,Cranfield Rd,Toronto,ON,CA
25231,A1 PMR Automotive,39 Fima Crescent,,M8W 3R1,Campbell,Wilbert,416-915-1036,,General Automotive Repair,1,43.604509,-79.526008,39,Fima Cres,Toronto,ON,CA
22882,A1GT Auto Repair Inc,2922 Islington Ave,1,M9L 2K4,Bhullar,Avneet,416-749-5700,,General Automotive Repair,3,43.755764,-79.569617,2922,Islington Ave,Toronto,ON,CA
23385,AA Auto Repair,57  Toro Road Rear Of 55,,M3J 2A4,Villani,Angelo,416-398-3334,,General Automotive Repair,1,43.760806,-79.484775,57,Toro Rd,Toronto,ON,CA
